STT,Câu hỏi (theo nguồn),Trả lời
11,11. Bạn hiểu gì về Quản lý Cấu hình?,Quản lý Cấu hình (Configuration Management) là quá trình kiểm soát và ghi lại sự thay đổi cho hệ thống phát triển. Quản lý Cấu hình là một phần của phương pháp quản lý thay đổi tổng thể. Nó cho phép các nhóm lớn làm việc cùng nhau trong một môi trường ổn định đồng thời vẫn cung cấp sự linh hoạt cần thiết cho công việc sáng tạo.
12,12. Hạ tầng dưới dạng Mã (IaC) là gì?,"Hạ tầng dưới dạng Mã (IaC) là một phương pháp quản lý và cấp phát hạ tầng IT bằng cách sử dụng mã, thay vì cấu hình thủ công. Nó cho phép các nhóm tự động hóa việc thiết lập và quản lý hạ tầng của họ, làm cho nó hiệu quả và nhất quán hơn. Điều này đặc biệt hữu ích trong môi trường DevOps, nơi các nhóm liên tục cập nhật và triển khai phần mềm. <br> Thay vì nhấp qua các bảng điều khiển hoặc cấu hình hệ thống bằng tay, bạn định nghĩa hạ tầng mong muốn trong các tệp mã (sử dụng các công cụ như Terraform, Ansible hoặc CloudFormation). Các tệp này sau đó có thể được kiểm soát phiên bản, tái sử dụng, kiểm thử và tự động hóa – giống như mã ứng dụng. <br> Lợi ích của IaC là: <br> * Tính nhất quán: Cấu hình giống nhau mọi lúc, giảm lỗi. <br> * Tự động hóa: Thiết lập và phá hủy môi trường nhanh chóng. <br> * Khả năng mở rộng: Dễ dàng mở rộng hạ tầng lên hoặc xuống bằng mã. <br> * Kiểm soát phiên bản: Theo dõi và khôi phục các thay đổi bằng Git hoặc hệ thống kiểm soát phiên bản khác."
13,13. Giải thích khái niệm phân nhánh trong Git.,"Phân nhánh trong Git (Branching in Git) là một cách để tạo ra các dòng phát triển riêng biệt trong một dự án. Một nhánh giống như một con trỏ đến một commit cụ thể trong lịch sử Git. <br> Theo mặc định, Git bắt đầu với một nhánh chính (thường được gọi là main hoặc master). Khi bạn tạo một nhánh mới, bạn đang tạo một bản sao lịch sử của dự án tại thời điểm đó. Điều này cho phép bạn làm việc trên các tính năng mới, sửa lỗi hoặc thử nghiệm mà không ảnh hưởng đến cơ sở mã chính. <br> * Mỗi nhánh là độc lập, vì vậy các thay đổi không can thiệp vào các nhánh khác cho đến khi được hợp nhất. <br> * Các nhánh giúp phát triển song song khả thi (ví dụ: nhiều nhà phát triển làm việc trên các tính năng khác nhau). <br> * Bạn có thể dễ dàng hợp nhất (merge) các nhánh để kết hợp công việc hoặc xóa (delete) các nhánh sau khi hoàn thành. <br> * Các chiến lược phân nhánh phổ biến bao gồm Feature Branching, Git Flow và Trunk-Based Development. <br> Ví dụ: <br> * nhánh main → mã sản xuất ổn định. <br> * nhánh feature/login → tính năng đăng nhập mới đang được phát triển. <br> * Sau khi kiểm thử, feature/login được hợp nhất trở lại vào main."
14,14. Git stash là gì?,"Lệnh Git stash có thể được sử dụng để hoàn thành việc này nếu một nhà phát triển đang làm việc trên một dự án và muốn lưu giữ các thay đổi mà không commit chúng. Điều này sẽ cho phép anh ta chuyển nhánh và làm việc trên các dự án khác mà không ảnh hưởng đến các sửa đổi hiện có. Bạn có thể hoàn tác các sửa đổi bất cứ khi nào cần thiết, và nó lưu trữ trạng thái hiện tại và đưa các nhà phát triển trở lại trạng thái trước đó."
15,15. Repository trong GIT là gì?,Repository trong GIT chứa một tập hợp các tệp của các phiên bản khác nhau của một Dự án. Các tệp này được nhập từ repository vào máy chủ cục bộ của người dùng để cập nhật và sửa đổi nội dung của tệp. Một VCS hoặc Hệ thống Kiểm soát Phiên bản được sử dụng để tạo các phiên bản này và lưu trữ chúng ở một nơi cụ thể được gọi là repository.
16,16. Kể tên ba chỉ số KPI quan trọng của DevOps,"Dưới đây là ba KPI (Chỉ số Hiệu suất Chính) quan trọng của DevOps: <br> 1. Tần suất Triển khai (Deployment Frequency - DF): Chỉ số này cho bạn biết tần suất mã mới được phát hành vào môi trường sản xuất. Tần suất cao hơn có nghĩa là quá trình phát triển mượt mà hơn và phân phối nhanh hơn. <br> 2. Thời gian Trung bình để Khôi phục (Mean Time to Recovery - MTTR): Chỉ số này đo lường tốc độ một hệ thống phục hồi từ các sự cố. Khôi phục nhanh hơn có nghĩa là khả năng phục hồi của hệ thống tốt hơn. <br> 3. Tỷ lệ Thay đổi Gây lỗi (Change Failure Rate - CFR): Chỉ số này cho thấy tỷ lệ phần trăm các triển khai gây ra vấn đề trong môi trường sản xuất. Tỷ lệ lỗi thấp hơn có nghĩa là các bản phát hành phần mềm ổn định và đáng tin cậy hơn. <br> Theo dõi các KPI này giúp các nhóm phát hành nhanh hơn, khắc phục sự cố nhanh hơn và duy trì chất lượng phần mềm cao."
17,17. Jenkins là gì?,"Jenkins là một máy chủ tự động hóa mã nguồn mở được sử dụng để xây dựng, kiểm thử và triển khai phần mềm. Nó được viết bằng Java và chạy trên Môi trường Thời gian chạy Java (JRE). Với Jenkins, các nhà phát triển có thể triển khai Tích hợp Liên tục (CI) và Phân phối Liên tục (CD) bằng cách tự động hóa các tác vụ lặp đi lặp lại trong vòng đời phát triển phần mềm. <br> Nó hỗ trợ hàng trăm plugin tích hợp với các công cụ khác nhau như Git, Maven, Docker và Kubernetes, làm cho nó có tính linh hoạt cao. Jenkins giúp các nhóm phát hiện sớm các vấn đề, cải thiện chất lượng mã và tăng tốc phân phối bằng cách tự động hóa quy trình làm việc từ commit mã đến triển khai sản xuất."
18,18. Lệnh cherry-pick trong Git có tác dụng gì?,Git cherry-pick trong Git có nghĩa là chọn một commit từ một nhánh và áp dụng nó vào một nhánh khác. Điều này khác với các cách khác như merge và rebase thường áp dụng nhiều commit vào một nhánh khác. <br> Lệnh cho Cherry-pick là như sau: git cherry-pick <commit-hash>.
19,19. Lệnh sudo trong Linux là gì?,"Lệnh Sudo (Super User DO) trong Linux thường được sử dụng làm tiền tố cho một số lệnh mà chỉ người dùng siêu cấp (superuser) mới được phép chạy. Nếu bạn đặt tiền tố bất kỳ lệnh nào với ""sudo"", nó sẽ chạy lệnh đó với các quyền ưu tiên cao hơn hoặc nói cách khác là cho phép một người dùng có quyền thích hợp thực thi một lệnh như một người dùng khác, chẳng hạn như người dùng siêu cấp. Điều này tương đương với tùy chọn ""run as administrator"" trong Windows."
20,20. Sự khác biệt giữa Git Fetch và Git Pull là gì?,<br> <br>
21,21. Các thành phần của Selenium là gì?,"Selenium là một công cụ mạnh mẽ để kiểm soát trình duyệt web thông qua chương trình. Nó hoạt động trên tất cả các trình duyệt, trên tất cả các hệ điều hành chính và các script của nó được viết bằng nhiều ngôn ngữ khác nhau như Python, Java, C#, v.v.. Selenium có bốn thành phần chính: <br> * Selenium IDE <br> * Selenium RC <br> * Selenium WebDriver <br> * Selenium GRID"
22,22. Puppet trong DevOps là gì?,"Puppet là một công cụ tự động hóa quản lý cấu hình mã nguồn mở. Puppet cho phép quản trị viên hệ thống viết hạ tầng dưới dạng mã, sử dụng Ngôn ngữ Mô tả Puppet thay vì sử dụng bất kỳ script tùy chỉnh và cá nhân nào. Điều này có nghĩa là nếu quản trị viên hệ thống vô tình thay đổi trạng thái của máy, thì Puppet có thể thực thi thay đổi và đảm bảo rằng hệ thống trở về trạng thái yêu cầu."
23,23. Ansible là gì?,"Ansible là một công cụ tự động hóa mã nguồn mở được sử dụng để quản lý cấu hình, triển khai ứng dụng và tự động hóa tác vụ. Nó giúp các quản trị viên hệ thống và nhóm DevOps quản lý nhiều máy chủ từ một máy điều khiển duy nhất mà không cần cài đặt bất kỳ tác nhân nào trên các hệ thống mục tiêu. <br> * Không cần tác nhân (Agentless): Hoạt động qua SSH, không yêu cầu phần mềm bổ sung trên máy khách. <br> * Ngôn ngữ đơn giản: Sử dụng YAML (được gọi là Playbooks) để mô tả các tác vụ tự động hóa ở dạng dễ đọc. <br> * Khả năng mở rộng: Có thể quản lý từ vài máy chủ đến hàng nghìn máy chủ. <br> * Linh hoạt: Hỗ trợ các tác vụ như cấp phát, vá lỗi, điều phối và tự động hóa đám mây. <br> Ví dụ về trường hợp sử dụng: Triển khai một ứng dụng web trên 50 máy chủ chỉ với một lệnh, đảm bảo mọi máy chủ có cấu hình giống nhau."
24,24. Kiểm thử Tự động hóa là gì?,Kiểm thử Tự động hóa (Automated Testing) là một kỹ thuật mà Tester tự viết script và sử dụng Phần mềm hoặc Công cụ Tự động hóa phù hợp để kiểm thử phần mềm. Nó là một Quy trình Tự động hóa của một Quy trình Thủ công. Nó cho phép thực hiện các tác vụ lặp đi lặp lại mà không cần sự can thiệp của một Tester Thủ công.
25,25. Tầm quan trọng của phản hồi liên tục trong DevOps là gì?,"Phản hồi Liên tục (Continuous Feedback) trong kiểm thử phần mềm là một quá trình lặp đi lặp lại bao gồm việc trình bày các bình luận, đánh giá và phê bình hàng ngày trong suốt vòng đời cải tiến phần mềm. Nó đảm bảo rằng các nhà phát triển nhận được thông điệp nhất quán về chất lượng và chức năng của mã của họ."
26,26. Git Bash là gì?,"Git Bash là một ứng dụng giao diện dòng lệnh (CLI) cho Windows cho phép bạn giao tiếp với Git, hệ thống kiểm soát phiên bản. Sao chép kho lưu trữ, commit thay đổi, push và pull thay đổi, và nhiều hơn nữa đều có thể thực hiện bằng Git Bash. Git Bash có thể tự động hóa các tác vụ thủ công với các script bạn viết. Git Bash giúp bạn học hỏi về Git và kiểm soát phiên bản một cách hiệu quả hơn."
27,27. Git Squashing là gì?,"Squashing kết hợp nhiều commit thành một commit duy nhất dựa trên lịch sử commit của bạn. Với sự trợ giúp của squashing, bạn có thể làm sạch lịch sử nhánh của mình và duy trì một dòng thời gian commit có tổ chức. Nó được sử dụng trước khi pull request hoặc hợp nhất các nhánh tính năng."
28,29. Xung đột hợp nhất trong Git là gì?,"Xung đột hợp nhất (Merge Conflicts) là các xung đột xảy ra khi một nhà phát triển đang chỉnh sửa một tệp trong một nhánh cụ thể và nhà phát triển khác cũng đang chỉnh sửa cùng tệp đó hoặc khi nhà phát triển A chỉnh sửa một số dòng mã và cùng dòng mã đó đang được chỉnh sửa bởi nhà phát triển B, dẫn đến xung đột trong quá trình hợp nhất."
29,30. Git prune là gì?,"Git prune là một lệnh xóa tất cả các tệp không thể truy cập được từ nhánh hiện tại. Lệnh prune hữu ích khi bạn có nhiều tệp trong thư mục làm việc mà bạn không muốn giữ. Công dụng chính của git prune là dọn dẹp thư mục làm việc của bạn sau khi bạn đã hoàn thành một dự án. Thực tế git prune làm gì, giả sử bạn có một đối tượng hoặc commit không còn có thể truy cập được từ nhánh hiện tại. <br> Lệnh: git fetch –prune <remote>."
30,31. Sự khác biệt giữa HTTP và HTTPS là gì?,<br> <br>
31,32. Máy ảo (VMs) là gì?,"Trong DevOps, Máy ảo (VMs) được sử dụng để tạo các môi trường cô lập cho phát triển, kiểm thử và triển khai. Một VM trừu tượng hóa phần cứng của một máy vật lý (CPU, bộ nhớ, lưu trữ, NIC) và cho phép nhiều phiên bản HĐH chạy độc lập trên một hệ thống duy nhất, được quản lý bởi một bộ giám sát (hypervisor) (như VirtualBox, VMware hoặc KVM). VM được sử dụng rộng rãi trong điện toán đám mây, các pipeline CI/CD và tự động hóa hạ tầng. <br> Tuy nhiên, DevOps hiện đại ưu tiên container (như Docker) hơn VM vì chúng nhẹ hơn, nhanh hơn và có khả năng mở rộng cao hơn cho các microservice và ứng dụng đám mây gốc."
32,33. Sự khác biệt giữa Triển khai Liên tục và Phân phối Liên tục là gì?,Bảng sau đây giúp bạn hiểu rõ sự khác biệt chính giữa Triển khai Liên tục (Continuous Deployment) và Phân phối Liên tục (Continuous Delivery): <br> <br>
33,34. Giải thích các giai đoạn khác nhau trong phương pháp DevOps.,"DevOps là sự kết hợp các thực hành giúp các nhóm cung cấp phần mềm nhanh hơn và đáng tin cậy hơn. Nó có một số giai đoạn hoạt động cùng nhau như một vòng lặp, không phải một đường thẳng. Có 6 giai đoạn của phương pháp DevOps: <br> * Lập kế hoạch (Planning): Bước đầu tiên nơi mọi người cùng nhau để hiểu các yêu cầu và mục tiêu của dự án. Mục đích là đặt ra một hướng đi rõ ràng cho quá trình phát triển. Giai đoạn này đảm bảo rằng nhóm biết những gì cần làm và cách quản lý toàn bộ quy trình. Các công cụ như Google Apps hoặc Asana giúp tổ chức các tác vụ và giữ cho nhóm thống nhất. <br> * Phát triển (Development): Đây là lúc việc mã hóa thực sự diễn ra. Các nhà phát triển viết mã, tạo tính năng và định nghĩa kiểm thử. Mã được lưu trữ ở một nơi chung gọi là ""kho lưu trữ"" nơi nhóm có thể làm việc cùng nhau, thực hiện các thay đổi và theo dõi các phiên bản mã khác nhau. Các công cụ như Git, Eclipse hoặc IntelliJ giúp các nhà phát triển cộng tác hiệu quả. <br> * Tích hợp Liên tục (CI - Continuous Integration): Sau khi các nhà phát triển viết mã, giai đoạn này giúp tự động hóa việc kiểm tra, kiểm thử và xây dựng phần mềm. Nó đảm bảo rằng các thay đổi không làm hỏng bất cứ điều gì và rằng hệ thống hoạt động trơn tru ngay từ đầu. Các công cụ như Jenkins hoặc CircleCI được sử dụng cho quy trình tự động này. <br> * Triển khai (Deployment): Khi mã đã sẵn sàng, đã đến lúc phát hành. Giai đoạn này tự động hóa quá trình đưa mã vào hoạt động, có nghĩa là sản phẩm được cập nhật tự động mà không cần can thiệp thủ công. Các dịch vụ đám mây, như AWS hoặc Azure, giúp quản lý các triển khai này và mở rộng sản phẩm khi cần. <br> * Vận hành (Operations): Giai đoạn này diễn ra liên tục trong suốt vòng đời của sản phẩm. Nhóm theo dõi phần mềm, đảm bảo nó chạy trơn tru. Vận hành bao gồm duy trì hạ tầng, xử lý sự cố và đảm bảo phần mềm sẵn sàng và có khả năng mở rộng. Các công cụ như Loggly hoặc AppDynamics được sử dụng để giám sát hiệu suất của sản phẩm. <br> * Giám sát (Monitoring): Giai đoạn cuối cùng là về việc theo dõi hiệu suất và tình trạng của phần mềm. Đó là một quá trình liên tục nơi nhóm theo dõi bất kỳ vấn đề nào, thu thập dữ liệu và phân tích cách phần mềm đang hoạt động. Điều này giúp xác định các lĩnh vực cần cải thiện. Các công cụ như Nagios hoặc Splunk được sử dụng để giám sát trạng thái hệ thống và khắc phục mọi vấn đề phát sinh."
34,35. Các mô hình chống đối (antipatterns) trong DevOps là gì và làm thế nào để tránh chúng?,"Mô hình chống đối (antipattern) là ngược lại của một thực hành tốt nhất. Trong DevOps, các mô hình chống đối xảy ra khi các nhóm quá tập trung vào các mục tiêu ngắn hạn, như sửa chữa nhanh hoặc phát hành nhanh, mà không nghĩ đến tác động lâu dài. Điều này thường dẫn đến hợp tác kém, nợ kỹ thuật hoặc các quy trình không mở rộng tốt. Kết quả là, thành công lâu dài trở nên khó đạt được hơn. Bảng sau giải thích một số mô hình chống đối phổ biến và cách tránh chúng: <br> <br>"
35,36. Mô hình dựa trên thành phần (CBM) trong DevOps là gì?,"Mô hình lắp ráp dựa trên thành phần (Component-Based Model - CBM) sử dụng các công nghệ hướng đối tượng. Trong các công nghệ hướng đối tượng, trọng tâm là việc tạo ra các lớp (classes). Các lớp là các thực thể đóng gói dữ liệu và thuật toán. Trong kiến trúc dựa trên thành phần, các lớp (tức là các thành phần cần thiết để xây dựng ứng dụng) có thể được sử dụng như các thành phần có thể tái sử dụng."
36,37. Làm thế nào để tạo một Pipeline CI-CD trong Jenkins?,"Các chuyên gia DevOps chủ yếu làm việc với các pipeline vì chúng có thể tự động hóa các quy trình như xây dựng, kiểm thử và triển khai ứng dụng. Với sự trợ giúp của các script Pipeline Tích hợp Liên tục / Triển khai Liên tục (CI/CD), chúng ta có thể tự động hóa toàn bộ quy trình, điều này sẽ tăng năng suất, tiết kiệm rất nhiều thời gian cho tổ chức và cung cấp các ứng dụng chất lượng cho người dùng cuối. Các bước thực hiện: <br> * Cài đặt Jenkins và các plugin cần thiết (Git, Pipeline, Maven/Gradle, Docker nếu cần). <br> * Cấu hình các công cụ trong Jenkins (JDK, Maven/Node, Docker, v.v.). <br> * Thiết lập thông tin xác thực cho Git, máy chủ và registry. <br> * Tạo một Jenkins job (Pipeline hoặc Multibranch Pipeline). <br> * Thêm một Jenkinsfile vào kho lưu trữ định nghĩa các giai đoạn: Build → Test → Deploy. <br> * Kết nối Jenkins với Git (qua webhook hoặc polling) để kích hoạt tự động. <br> * Giai đoạn 1 – Build: Biên dịch/đóng gói ứng dụng. <br> * Giai đoạn 2 – Test: Chạy các kiểm thử tự động và xuất bản kết quả. <br> * Giai đoạn 3 – Deploy: Triển khai artifact đến máy chủ, Docker hoặc Kubernetes. <br> * Giám sát & bảo mật: Sử dụng báo cáo, nhật ký, phê duyệt và thông tin xác thực an toàn."
37,38. Sự khác biệt giữa Chef và Puppet là gì?,<br> <br>
38,39. Git Rebase là gì?,Rebasing trong Git là một quá trình tích hợp một loạt các commit lên trên một điểm cơ sở khác. Nó lấy tất cả các commit của một nhánh và nối chúng vào các commit của một nhánh mới. Mục tiêu chính của rebasing là duy trì một lịch sử dự án thẳng và sạch hơn. Rebasing tạo ra một lịch sử dự án hoàn toàn tuyến tính có thể theo dõi commit cuối cùng của tính năng cho đến đầu dự án mà không cần phân nhánh. Điều này giúp việc điều hướng dự án dễ dàng hơn. <br> Cú pháp kỹ thuật của lệnh rebase là: `git rebase [-i
39,40. Selenium Tool Suite là gì?,"Selenium là một bộ phần mềm mã nguồn mở rất nổi tiếng, chủ yếu được sử dụng để kiểm thử trình duyệt web và ứng dụng web bằng cách tự động hóa một số quy trình. Nó đi kèm với một bộ công cụ và thư viện cho phép các nhà phát triển hoặc kiểm thử viên tự động hóa một số chức năng liên quan đến trình duyệt web và ứng dụng web. Bộ công cụ Selenium bao gồm 4 thành phần chính: <br> * Selenium IDE (Integrated Development Environment) <br> * Selenium WebDriver <br> * Selenium Grid <br> * Selenium Remote Control (Đã lỗi thời)"
40,41. Selenium IDE là gì?,"Selenium IDE (Integrated Development Environment) là một giải pháp kiểm thử web mã nguồn mở. Selenium IDE giống như một công cụ ghi lại những gì bạn làm trên một trang web. Sau đó, các tương tác đã ghi này có thể được phát lại dưới dạng các kiểm thử tự động. Bạn không cần nhiều kỹ năng lập trình để sử dụng nó. Ngay cả khi bạn không giỏi lập trình, bạn vẫn có thể tạo các kiểm thử tự động đơn giản với nó."
41,42. Thuật toán Banker trong HĐH là gì?,"Thuật toán Banker (Banker’s Algorithm) là một thuật toán cấp phát tài nguyên và tránh tắc nghẽn. Nó kiểm tra tính an toàn bằng cách mô phỏng việc cấp phát số lượng tối đa có thể có của tất cả các tài nguyên đã định trước, sau đó thực hiện kiểm tra ""trạng thái an toàn"" để kiểm tra các hoạt động có thể xảy ra, trước khi quyết định xem việc cấp phát có nên được phép tiếp tục hay không."
42,43. Làm thế nào để tạo bản sao lưu và sao chép tệp trong Jenkins?,"Trong Jenkins, để tạo bản sao lưu, bạn sao chép thư mục JENKINS_HOME, nơi chứa tất cả các cấu hình và dữ liệu công việc. Để sao chép tệp, bạn sử dụng lệnh sh hoặc bat trong một script pipeline, ví dụ: sh 'cp source_file destination' cho Unix hoặc bat 'copy source_file destination' cho Windows. Bạn cũng có thể sử dụng các plugin như ""ThinBackup"" để lên lịch sao lưu."
43,44. Giải thích cách bạn có thể thiết lập một Jenkins job?,"Để thiết lập một Jenkins job: <br> 1. Mở Jenkins và đăng nhập bằng thông tin đăng nhập của bạn. <br> 2. Nhấp vào ""New Item"" từ bảng điều khiển. <br> 3. Nhập tên cho job của bạn và chọn loại job (ví dụ: dự án Freestyle). <br> 4. Nhấp vào ""OK"" để tạo job. <br> 5. Cấu hình job của bạn bằng cách thêm mô tả, chi tiết quản lý mã nguồn (ví dụ: kho lưu trữ Git) và các trình kích hoạt build. <br> 6. Thêm các bước build, chẳng hạn như lệnh shell hoặc gọi script. <br> 7. Lưu job và nhấp vào ""Build Now"" để chạy nó."
