STT,Câu Hỏi,Câu Trả Lời
57,Khi nào dùng Label Encoding vs One Hot Encoding?,"One-Hot: khi categorical feature không ordinal, số categories ít<br>Label Encoding: khi categorical feature là ordinal, số categories lớn"
58,Khác biệt LDA và PCA cho dimensionality reduction?,"Cả hai là kỹ thuật linear transformation. LDA là supervised, PCA là unsupervised. PCA tìm hướng variance tối đa, LDA tìm feature subspace tối đa hóa class separability."
59,t-SNE là gì?,"t-Distributed Stochastic Neighbor Embedding là kỹ thuật unsupervised, non-linear chủ yếu cho data exploration và visualizing high-dimensional data."
60,Khác biệt t-SNE và PCA?,"PCA (1933) là linear, tối đa hóa variance, bảo tồn large pairwise distances. t-SNE (2008) chỉ bảo tồn small pairwise distances hoặc local similarities."
61,UMAP là gì?,"Uniform Manifold Approximation and Projection là kỹ thuật manifold learning mới cho dimension reduction, dựa trên Riemannian geometry và algebraic topology."
62,Khác biệt t-SNE và UMAP?,"UMAP tốt hơn trong việc bảo tồn global structure, inter-cluster relations có ý nghĩa hơn t-SNE. Nhưng cả hai đều warp high-dimensional shape khi project xuống low dimensions."
63,Random Number Generator hoạt động như thế nào?,Tạo ra pseudo random number dựa trên seed và có các thuật toán nổi tiếng.
64,Vấn đề với splitting mechanism khi evaluate n models?,"rand() function sắp xếp dữ liệu khác nhau mỗi lần chạy, vì vậy 80% rows sẽ khác nhau mỗi lần. Cần set random seed hoặc dùng random_state parameter để có consistent sampling."
65,Khác biệt Bayesian vs Frequentist statistics?,"Frequentist: tập trung estimate population parameters bằng sample statistics<br>Bayesian: sử dụng prior knowledge để update beliefs về parameter, cung cấp probability distributions cho parameters"
66,Khác biệt cơ bản LSTM và Transformers?,LSTM: RNN cells để store và manipulate thông tin across time steps<br>Transformers: stack của encoder-decoder layers với self attention và feed-forward neural network components
67,RCNNs là gì?,Recurrent Convolutional model để dự đoán sử dụng sequence của images (video). Kết hợp region proposal techniques và CNNs để identify và locate objects trong ảnh.
